srq,format,task,piece_id,n_wrong,claude_correct,gemini_correct,gpt_correct
SRQ1,pdf,key_signature,01-1,1,True,False,True
SRQ1,pdf,key_signature,01-2,1,True,False,True
SRQ1,pdf,key_signature,01-3,2,True,False,False
SRQ1,pdf,key_signature,01-4,1,True,False,True
SRQ1,pdf,key_signature,02-1,1,False,True,True
SRQ1,pdf,key_signature,02-2,1,True,False,True
SRQ1,pdf,key_signature,02-3,1,True,False,True
SRQ1,pdf,key_signature,03-1,0,True,True,True
SRQ1,pdf,key_signature,03-2,0,True,True,True
SRQ1,pdf,key_signature,03-3,3,False,False,False
SRQ1,pdf,key_signature,03-4,0,True,True,True
SRQ1,pdf,key_signature,05-1,0,True,True,True
SRQ1,pdf,key_signature,05-2,1,True,False,True
SRQ1,pdf,key_signature,05-3,1,True,False,True
SRQ1,pdf,key_signature,06-1,2,False,False,True
SRQ1,pdf,key_signature,06-2,2,True,False,False
SRQ1,pdf,key_signature,06-3,2,False,False,True
SRQ1,pdf,key_signature,07-1,1,False,True,True
SRQ1,pdf,key_signature,07-2,0,True,True,True
SRQ1,pdf,key_signature,07-3,2,False,False,True
SRQ1,pdf,key_signature,07-4,2,False,False,True
SRQ1,pdf,key_signature,08-1,0,True,True,True
SRQ1,pdf,key_signature,08-2,0,True,True,True
SRQ1,pdf,key_signature,08-3,0,True,True,True
SRQ1,pdf,key_signature,09-1,0,True,True,True
SRQ1,pdf,key_signature,09-2,0,True,True,True
SRQ1,pdf,key_signature,09-3,0,True,True,True
SRQ1,pdf,key_signature,10-1,1,True,False,True
SRQ1,pdf,key_signature,10-2,3,False,False,False
SRQ1,pdf,key_signature,10-3,1,True,False,True
SRQ1,pdf,key_signature,16-1,0,True,True,True
SRQ1,pdf,key_signature,16-2,2,False,True,False
SRQ1,pdf,key_signature,16-3,1,True,False,True
SRQ1,pdf,key_signature,17-1,1,True,False,True
SRQ1,pdf,key_signature,17-2,0,True,True,True
SRQ1,pdf,key_signature,17-3,1,True,True,False
SRQ1,pdf,key_signature,18-1,1,True,False,True
SRQ1,pdf,key_signature,18-2,2,True,False,False
SRQ1,pdf,key_signature,18-3,0,True,True,True
SRQ1,pdf,key_signature,18-4,1,True,False,True
SRQ1,pdf,key_signature,19-1,1,True,False,True
SRQ1,pdf,key_signature,19-2,1,True,False,True
SRQ1,pdf,key_signature,20-1,0,True,True,True
SRQ1,pdf,key_signature,20-2,0,True,True,True
SRQ1,pdf,key_signature,21-1,0,True,True,True
SRQ1,pdf,key_signature,21-2,1,True,False,True
SRQ1,pdf,key_signature,21-3,1,True,False,True
SRQ1,pdf,key_signature,23-1,0,True,True,True
SRQ1,pdf,key_signature,23-2,2,False,False,True
SRQ1,pdf,key_signature,23-3,1,True,False,True
SRQ1,pdf,key_signature,24-1,0,True,True,True
SRQ1,pdf,key_signature,24-2,0,True,True,True
SRQ1,pdf,key_signature,26-1,0,True,True,True
SRQ1,pdf,key_signature,26-2,1,True,False,True
SRQ1,pdf,key_signature,26-3,1,True,False,True
SRQ1,pdf,key_signature,30-1,1,True,False,True
SRQ1,pdf,key_signature,30-2,1,True,False,True
SRQ1,pdf,key_signature,30-3,1,True,True,False
SRQ1,pdf,key_signature,31-1,1,True,False,True
SRQ1,pdf,key_signature,31-2,1,False,True,True
SRQ1,pdf,key_signature,31-3,3,False,False,False
SRQ1,pdf,key_signature,32-1,0,True,True,True
SRQ1,pdf,key_signature,32-2,0,True,True,True
SRQ1,pdf,time_signature,01-1,1,True,False,True
SRQ1,pdf,time_signature,01-2,1,True,False,True
SRQ1,pdf,time_signature,01-3,0,True,True,True
SRQ1,pdf,time_signature,01-4,2,True,False,False
SRQ1,pdf,time_signature,02-1,1,True,False,True
SRQ1,pdf,time_signature,02-2,1,True,False,True
SRQ1,pdf,time_signature,02-3,1,True,False,True
SRQ1,pdf,time_signature,03-1,0,True,True,True
SRQ1,pdf,time_signature,03-2,1,True,False,True
SRQ1,pdf,time_signature,03-3,1,True,False,True
SRQ1,pdf,time_signature,03-4,1,True,False,True
SRQ1,pdf,time_signature,04-1,0,True,True,True
SRQ1,pdf,time_signature,04-2,1,True,False,True
SRQ1,pdf,time_signature,04-3,1,True,False,True
SRQ1,pdf,time_signature,04-4,0,True,True,True
SRQ1,pdf,time_signature,05-1,1,True,False,True
SRQ1,pdf,time_signature,05-2,2,True,False,False
SRQ1,pdf,time_signature,05-3,1,True,False,True
SRQ1,pdf,time_signature,06-1,1,True,False,True
SRQ1,pdf,time_signature,06-2,0,True,True,True
SRQ1,pdf,time_signature,06-3,1,True,False,True
SRQ1,pdf,time_signature,07-1,1,True,False,True
SRQ1,pdf,time_signature,07-2,0,True,True,True
SRQ1,pdf,time_signature,07-3,1,True,False,True
SRQ1,pdf,time_signature,07-4,0,True,True,True
SRQ1,pdf,time_signature,08-1,1,True,True,False
SRQ1,pdf,time_signature,08-2,1,True,False,True
SRQ1,pdf,time_signature,08-3,2,True,False,False
SRQ1,pdf,time_signature,09-1,1,True,False,True
SRQ1,pdf,time_signature,09-2,1,True,False,True
SRQ1,pdf,time_signature,09-3,0,True,True,True
SRQ1,pdf,time_signature,10-1,1,True,False,True
SRQ1,pdf,time_signature,10-2,2,False,True,False
SRQ1,pdf,time_signature,10-3,1,True,False,True
SRQ1,pdf,time_signature,11-1,0,True,True,True
SRQ1,pdf,time_signature,11-2,1,True,False,True
SRQ1,pdf,time_signature,11-3,1,True,False,True
SRQ1,pdf,time_signature,11-4,1,True,False,True
