model,task,category,count,pct,n_total
Claude,key_signature,A,1,8.3,12
Claude,key_signature,B,11,91.7,12
Claude,key_signature,C,0,0.0,12
Claude,time_signature,A,0,0.0,5
Claude,time_signature,B,5,100.0,5
Claude,time_signature,C,0,0.0,5
Gemini,key_signature,A,1,2.4,42
Gemini,key_signature,B,39,92.9,42
Gemini,key_signature,C,2,4.8,42
Gemini,time_signature,A,0,0.0,47
Gemini,time_signature,B,47,100.0,47
Gemini,time_signature,C,0,0.0,47
GPT,key_signature,A,7,63.6,11
GPT,key_signature,B,4,36.4,11
GPT,key_signature,C,0,0.0,11
GPT,time_signature,A,0,0.0,10
GPT,time_signature,B,10,100.0,10
GPT,time_signature,C,0,0.0,10
