task,piece_id,claude_correct,gpt_correct,category
key_signature,01-1,True,True,2C
key_signature,01-2,False,False,2W
key_signature,01-3,True,True,2C
key_signature,01-4,True,True,2C
key_signature,02-1,False,True,1W1C
key_signature,02-2,True,False,1C1W
key_signature,02-3,False,False,2W
key_signature,03-1,True,True,2C
key_signature,03-2,True,True,2C
key_signature,03-3,False,False,2W
key_signature,03-4,True,True,2C
key_signature,05-1,True,True,2C
key_signature,05-2,True,True,2C
key_signature,05-3,True,True,2C
key_signature,06-1,False,True,1W1C
key_signature,06-2,True,True,2C
key_signature,06-3,False,True,1W1C
key_signature,07-1,True,False,1C1W
key_signature,07-2,True,True,2C
key_signature,07-3,False,True,1W1C
key_signature,07-4,True,True,2C
key_signature,08-1,True,True,2C
key_signature,08-2,True,True,2C
key_signature,08-3,True,True,2C
key_signature,09-1,True,True,2C
key_signature,09-2,True,True,2C
key_signature,09-3,True,True,2C
key_signature,10-1,True,True,2C
key_signature,10-2,True,False,1C1W
key_signature,10-3,True,True,2C
key_signature,16-1,True,True,2C
key_signature,16-2,True,False,1C1W
key_signature,16-3,True,True,2C
key_signature,17-1,True,True,2C
key_signature,17-2,True,True,2C
key_signature,17-3,False,True,1W1C
key_signature,18-1,True,True,2C
key_signature,18-2,True,False,1C1W
key_signature,18-3,True,True,2C
key_signature,18-4,True,True,2C
key_signature,19-1,True,True,2C
key_signature,19-2,True,True,2C
key_signature,20-1,True,True,2C
key_signature,20-2,True,True,2C
key_signature,21-1,True,True,2C
key_signature,21-2,True,True,2C
key_signature,21-3,True,True,2C
key_signature,23-1,True,True,2C
key_signature,23-2,False,True,1W1C
key_signature,23-3,True,True,2C
key_signature,24-1,True,False,1C1W
key_signature,24-2,False,True,1W1C
key_signature,26-1,True,True,2C
key_signature,26-2,False,False,2W
key_signature,26-3,True,True,2C
key_signature,30-1,True,True,2C
key_signature,30-2,True,True,2C
key_signature,30-3,True,True,2C
key_signature,31-1,True,True,2C
key_signature,31-2,True,True,2C
key_signature,31-3,False,False,2W
key_signature,32-1,True,True,2C
key_signature,32-2,True,True,2C
time_signature,01-1,True,True,2C
time_signature,01-2,True,True,2C
time_signature,01-3,True,True,2C
time_signature,01-4,True,False,1C1W
time_signature,02-1,True,True,2C
time_signature,02-2,True,True,2C
time_signature,02-3,True,True,2C
time_signature,03-1,True,True,2C
time_signature,03-2,True,True,2C
time_signature,03-3,True,True,2C
time_signature,03-4,True,True,2C
time_signature,04-1,True,True,2C
time_signature,04-2,True,True,2C
time_signature,04-3,True,True,2C
time_signature,04-4,True,True,2C
time_signature,05-1,True,True,2C
time_signature,05-2,True,False,1C1W
time_signature,05-3,True,True,2C
time_signature,06-1,True,True,2C
time_signature,06-2,True,True,2C
time_signature,06-3,True,True,2C
time_signature,07-1,True,True,2C
time_signature,07-2,True,True,2C
time_signature,07-3,False,True,1W1C
time_signature,07-4,True,True,2C
time_signature,08-1,True,True,2C
time_signature,08-2,True,True,2C
time_signature,08-3,True,False,1C1W
time_signature,09-1,True,True,2C
time_signature,09-2,True,True,2C
time_signature,09-3,True,True,2C
time_signature,10-1,True,True,2C
time_signature,10-2,False,False,2W
time_signature,10-3,True,True,2C
time_signature,11-1,True,True,2C
time_signature,11-2,True,True,2C
time_signature,11-3,False,True,1W1C
time_signature,11-4,True,True,2C
time_signature,12-1,True,True,2C
time_signature,12-2,True,True,2C
time_signature,12-3,True,True,2C
time_signature,12-4,True,True,2C
time_signature,13-1,False,False,2W
time_signature,13-2,True,False,1C1W
time_signature,13-3,True,True,2C
time_signature,13-4,False,True,1W1C
time_signature,14-1,True,True,2C
time_signature,14-2,True,True,2C
time_signature,14-3,True,True,2C
time_signature,15-1,True,True,2C
time_signature,15-2,True,True,2C
time_signature,15-3,True,True,2C
time_signature,15-4,True,True,2C
time_signature,16-1,True,True,2C
time_signature,16-2,True,False,1C1W
time_signature,16-3,True,False,1C1W
time_signature,17-1,True,True,2C
time_signature,17-2,True,True,2C
time_signature,17-3,True,True,2C
time_signature,18-1,True,True,2C
time_signature,18-2,True,True,2C
time_signature,18-3,True,True,2C
time_signature,18-4,True,True,2C
time_signature,19-1,True,True,2C
time_signature,19-2,True,True,2C
time_signature,20-1,True,False,1C1W
time_signature,20-2,True,True,2C
time_signature,21-1,True,True,2C
time_signature,21-2,True,True,2C
time_signature,21-3,True,True,2C
time_signature,23-1,True,True,2C
time_signature,23-2,True,False,1C1W
time_signature,23-3,True,True,2C
time_signature,24-1,True,True,2C
time_signature,24-2,True,True,2C
time_signature,26-1,True,True,2C
time_signature,26-2,True,True,2C
time_signature,26-3,True,True,2C
time_signature,29-1,True,False,1C1W
time_signature,29-2,True,True,2C
time_signature,29-3,True,True,2C
time_signature,29-4,False,True,1W1C
time_signature,30-1,True,True,2C
time_signature,30-2,True,True,2C
time_signature,30-3,True,True,2C
time_signature,31-1,True,True,2C
time_signature,31-2,True,True,2C
time_signature,31-3,True,True,2C
time_signature,32-1,True,True,2C
time_signature,32-2,True,True,2C
