task,class,pdf_acc,png_acc,delta
key_signature,bb major,1.0,0.6667,-0.3333
key_signature,db major,0.3333,0.0,-0.3333
key_signature,e minor,0.6667,0.3333,-0.3333
key_signature,f minor,0.6667,0.381,-0.2857
key_signature,f# major,0.8333,0.6667,-0.1667
key_signature,d minor,0.5556,0.4444,-0.1111
key_signature,ab major,0.6,0.5333,-0.0667
key_signature,e major,0.8667,0.8,-0.0667
key_signature,eb major,0.7222,0.6667,-0.0556
key_signature,a major,0.6667,0.6667,0.0
key_signature,c minor,0.9333,0.9333,0.0
key_signature,f major,0.5,0.5,0.0
key_signature,g minor,1.0,1.0,0.0
key_signature,c major,0.625,0.6667,0.0417
key_signature,g major,0.7143,0.7619,0.0476
key_signature,d major,0.5833,0.75,0.1667
time_signature,6/8,0.8,0.6667,-0.1333
time_signature,12/8,0.6667,0.6667,0.0
time_signature,2/2,0.4,0.4,0.0
time_signature,3/8,0.6667,0.6667,0.0
time_signature,4/4,0.8571,0.8571,0.0
time_signature,9/16,0.6667,0.6667,0.0
time_signature,9/8,0.5,0.5,0.0
time_signature,3/4,0.6533,0.68,0.0267
time_signature,2/4,0.6528,0.6806,0.0278
