task,model,sub_score,pct_incorrect
key_signature,Claude,count_wrong,91.7
key_signature,Claude,type_wrong,0.0
key_signature,Claude,map_wrong,8.3
key_signature,Gemini,count_wrong,97.6
key_signature,Gemini,type_wrong,31.0
key_signature,Gemini,map_wrong,9.5
key_signature,GPT,count_wrong,36.4
key_signature,GPT,type_wrong,27.3
key_signature,GPT,map_wrong,45.5
time_signature,Claude,top_wrong,40.0
time_signature,Claude,bot_wrong,100.0
time_signature,Claude,symbol_wrong,100.0
time_signature,Gemini,top_wrong,85.1
time_signature,Gemini,bot_wrong,55.3
time_signature,Gemini,symbol_wrong,100.0
time_signature,GPT,top_wrong,70.0
time_signature,GPT,bot_wrong,80.0
time_signature,GPT,symbol_wrong,100.0
